,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
133,129,Markus Cimermancic,ca CAN,"DF,MF",Toronto FC,20-204,2004,2.4,3,1.23,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
134,130,Caden Clark,us USA,"FW,MF",CF Montréal,21-331,2003,6.4,15,2.34,8,1,0,4,1,1,2,0.31,1,0,0,1,0,0,Matches
135,131,Noah Cobb,us USA,"DF,FW",Atlanta Utd,19-277,2005,1.8,1,0.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
136,132,Alonso Coello,es ESP,MF,Toronto FC,25-193,1999,4.7,7,1.49,6,1,0,0,0,0,1,0.21,1,0,0,0,0,0,Matches
137,133,Michael Collodi,us USA,GK,FC Dallas,23-333,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
138,134,Theo Corbeanu,ca CAN,FW,Toronto FC,22-341,2002,4.6,8,1.76,7,0,1,0,0,0,1,0.22,0,0,1,0,0,0,Matches
139,135,Matthew Corcoran,us USA,MF,Nashville SC,19-065,2006,1.6,2,1.22,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
140,136,Carlos Coronel,py PAR,GK,NY Red Bulls,28-115,1996,8.0,1,0.12,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
141,137,David Costa,pt POR,"MF,FW",Portland Timbers,24-108,2001,8.4,34,4.07,24,9,1,0,0,0,5,0.60,5,0,0,0,0,0,Matches
142,138,Vitor Costa,br BRA,DF,SJ Earthquakes,30-296,1994,3.1,9,2.87,5,0,0,2,2,0,0,0.00,0,0,0,0,0,0,Matches
143,139,Brandan Craig,us USA,DF,CF Montréal,21-016,2004,1.2,1,0.84,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
144,140,Ben Cremaschi,us USA,"MF,FW",Inter Miami,20-052,2005,5.2,7,1.36,6,1,0,0,0,0,2,0.39,1,1,0,0,0,0,Matches
145,141,Maxime Crépeau,ca CAN,GK,Portland Timbers,30-347,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
146,142,Andrés Cubas,py PAR,MF,Vancouver W'caps,28-336,1996,6.9,9,1.31,9,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
